KT_PZONE,KT_CNTY,KT_TOWN,KT_DID
100,臺北市,中正　區,W000,
103,臺北市,大同　區,W000,
104,臺北市,中山　區,W000,
105,臺北市,松山　區,W000,
106,臺北市,大安　區,W000,
108,臺北市,萬華　區,W000,
110,臺北市,信義　區,W000,
111,臺北市,士林　區,W000,
112,臺北市,北投　區,W000,
114,臺北市,內湖　區,W000,
115,臺北市,南港　區,W000,
116,臺北市,文山　區,W000,
200,基隆市,仁愛　區,A000,
201,基隆市,信義　區,A000,
202,基隆市,中正　區,A000,
203,基隆市,中山　區,A000,
204,基隆市,安樂　區,A000,
205,基隆市,暖暖　區,A000,
206,基隆市,七堵　區,A000,
207,新北市,萬里　區,D000,
208,新北市,金山　區,D000,
209,連江縣,南竿　鄉,Z000,
210,連江縣,北竿　鄉,Z000,
211,連江縣,莒光　鄉,Z000,
212,連江縣,東引　鄉,Z000,
220,新北市,板橋　區,D000,
221,新北市,汐止　區,D000,
222,新北市,深坑　區,D000,
223,新北市,石碇　區,D000,
224,新北市,瑞芳　區,D000,
226,新北市,平溪　區,D000,
227,新北市,雙溪　區,D000,
228,新北市,貢寮　區,D000,
231,新北市,新店　區,D000,
232,新北市,坪林　區,D000,
233,新北市,烏來　區,D000,
234,新北市,永和　區,D000,
235,新北市,中和　區,D000,
236,新北市,土城　區,D000,
237,新北市,三峽　區,D000,
238,新北市,樹林　區,D000,
239,新北市,鶯歌　區,D000,
241,新北市,三重　區,D000,
242,新北市,新莊　區,D000,
243,新北市,泰山　區,D000,
244,新北市,林口　區,D000,
247,新北市,蘆洲　區,D000,
248,新北市,五股　區,D000,
249,新北市,八里　區,D000,
251,新北市,淡水　區,D000,
252,新北市,三芝　區,D000,
253,新北市,石門　區,D000,
260,宜蘭縣,宜蘭　市,T000,
261,宜蘭縣,頭城　鎮,T000,
262,宜蘭縣,礁溪　鄉,T000,
263,宜蘭縣,壯圍　鄉,T000,
264,宜蘭縣,員山　鄉,T000,
265,宜蘭縣,羅東　鎮,T000,
266,宜蘭縣,三星　鄉,T000,
267,宜蘭縣,大同　鄉,T000,
268,宜蘭縣,五結　鄉,T000,
269,宜蘭縣,冬山　鄉,T000,
270,宜蘭縣,蘇澳　鎮,T000,
272,宜蘭縣,南澳　鄉,T000,
300,新竹市,北　　區,F000,
300,新竹市,東　　區,F000,
300,新竹市,香山　區,F000,
302,新竹縣,竹北　市,G000,
303,新竹縣,湖口　鄉,G000,
304,新竹縣,新豐　鄉,G000,
305,新竹縣,新埔　鎮,G000,
306,新竹縣,關西　鎮,G000,
307,新竹縣,芎林　鄉,G000,
308,新竹縣,寶山　鄉,G000,
310,新竹縣,竹東　鎮,G000,
311,新竹縣,五峰　鄉,G000,
312,新竹縣,橫山　鄉,G000,
313,新竹縣,尖石　鄉,G000,
314,新竹縣,北埔　鄉,G000,
315,新竹縣,峨眉　鄉,G000,
320,桃園市,中壢　區,E000,
324,桃園市,平鎮　區,E000,
325,桃園市,龍潭　區,E000,
326,桃園市,楊梅　區,E000,
327,桃園市,新屋　區,E000,
328,桃園市,觀音　區,E000,
330,桃園市,桃園　區,E000,
333,桃園市,龜山　區,E000,
334,桃園市,八德　區,E000,
335,桃園市,大溪　區,E000,
336,桃園市,復興　區,E000,
337,桃園市,大園　區,E000,
338,桃園市,蘆竹　區,E000,
350,苗栗縣,竹南　鎮,H000,
351,苗栗縣,頭份　鎮,H000,
352,苗栗縣,三灣　鄉,H000,
353,苗栗縣,南庄　鄉,H000,
354,苗栗縣,獅潭　鄉,H000,
356,苗栗縣,後龍　鎮,H000,
357,苗栗縣,通霄　鎮,H000,
358,苗栗縣,苑裡　鎮,H000,
360,苗栗縣,苗栗　市,H000,
361,苗栗縣,造橋　鄉,H000,
362,苗栗縣,頭屋　鄉,H000,
363,苗栗縣,公館　鄉,H000,
364,苗栗縣,大湖　鄉,H000,
365,苗栗縣,泰安　鄉,H000,
366,苗栗縣,銅鑼　鄉,H000,
367,苗栗縣,三義　鄉,H000,
368,苗栗縣,西湖　鄉,H000,
369,苗栗縣,卓蘭　鎮,H000,
400,臺中市,中　　區,B000,
401,臺中市,東　　區,B000,
402,臺中市,南　　區,B000,
403,臺中市,西　　區,B000,
404,臺中市,北　　區,B000,
406,臺中市,北屯　區,B000,
